bin	completeness	contamination	GC	lineage	N50	size	binner
bin.208	97.06	3.189	0.436	Bacteria	43357	4909223	binsB
bin.356	97.04	0.0	0.532	Clostridiales	150469	2145530	binsA
bin.429	97.00	1.571	0.461	Selenomonadales	34426	1762521	binsA
bin.66	96.87	3.562	0.577	Proteobacteria	65262	2040831	binsA
bin.269	96.66	2.463	0.411	Lachnospiraceae	22030	2436920	binsA
bin.337	96.47	1.812	0.374	Clostridiales	12961	2283766	binsA
bin.236	96.42	0.939	0.479	Clostridiales	27697	2431312	binsA
bin.137	96.42	0.061	0.446	Clostridiales	126546	2112119	binsA
bin.10	96.20	0.0	0.481	Clostridiales	22258	4430592	binsA
bin.151	96.08	4.586	0.438	Clostridiales	6937	1906486	binsA
bin.125	96.04	2.159	0.587	Bifidobacteriaceae	37176	2302194	binsA
bin.195	96.01	0.0	0.455	Clostridiales	60453	2287863	binsA
bin.129	95.97	0.061	0.336	Clostridiales	28086	1975169	binsA
bin.293	95.83	0.671	0.332	Clostridiales	19889	2028117	binsA
bin.228	95.80	6.743	0.441	Clostridiales	12193	3557869	binsB
bin.238	95.77	2.419	0.421	Clostridia	11035	2134605	binsA
bin.41	95.74	1.342	0.323	Clostridiales	13874	2145101	binsA
bin.341	95.74	6.444	0.569	Clostridiales	9023	2685637	binsB
bin.344	95.70	0.806	0.554	Clostridia	19919	2274299	binsA
bin.103	95.69	0.537	0.473	Bacteria	32626	1754575	binsA
bin.179	95.58	0.0	0.493	Bacteria	34624	1866849	binsA
bin.6	95.49	1.545	0.454	Lachnospiraceae	29488	2459449	binsA
bin.112	95.45	1.875	0.619	Proteobacteria	29019	2248622	binsA
bin.420	95.40	1.476	0.388	Clostridiales	8031	1911776	binsA
bin.323	95.38	3.081	0.442	Clostridiales	20108	2813999	binsB
bin.148	95.30	37.04	0.445	Clostridiales	15195	3466312	binsAB
bin.274	95.29	2.187	0.615	Proteobacteria	43833	1977624	binsA
bin.60	95.20	0.0	0.544	Selenomonadales	39721	2323756	binsA
bin.450	95.02	0.806	0.511	Clostridia	39095	2898383	binsA
bin.398	94.99	1.360	0.566	Clostridiales	8970	2358244	binsA
bin.188	94.96	1.342	0.591	Clostridiales	78870	1885973	binsA
bin.412	94.95	1.845	0.590	Clostridiales	39241	2403656	binsAB
bin.320	94.94	1.458	0.442	Proteobacteria	20038	2585002	binsA
bin.462	94.91	4.592	0.292	Bacteria	22926	2358119	binsA
bin.456	94.79	1.153	0.606	Bacteroidetes	16283	2437431	binsA
bin.23	94.77	0.0	0.293	Bacteria	45135	1582828	binsA
bin.124	94.73	8.213	0.449	Bacteria	14702	2276242	binsA
bin.221	94.72	0.136	0.589	Clostridiales	22997	2859670	binsA
bin.423	94.69	3.355	0.464	Clostridiales	11858	2074983	binsA
bin.242	94.63	0.671	0.511	Clostridiales	46605	2004868	binsA
bin.406	94.56	4.054	0.518	Bacteria	21472	4882565	binsA
bin.233	94.55	1.380	0.590	Deltaproteobacteria	39984	2385606	binsA
bin.454	94.54	0.0	0.501	Clostridiales	24827	2273709	binsAB
bin.491	94.48	18.79	0.423	Bacteroidales	5397	4357568	binsB
bin.47	94.47	2.515	0.563	Bacteroidales	50226	2757864	binsA
bin.75	94.39	0.994	0.444	Bacteria	38489	4731450	binsAB
bin.247	94.39	1.639	0.268	Clostridiales	36624	2634399	binsAB
bin.16	94.37	2.101	0.459	Lachnospiraceae	22940	2722287	binsA
bin.457	94.33	0.943	0.309	Bacteria	56319	3223511	binsA
bin.317	94.32	0.709	0.498	Clostridiales	73260	2183562	binsA
bin.345	94.31	1.197	0.548	Selenomonadales	24703	1962486	binsA
bin.176	94.29	1.901	0.366	Clostridiales	12379	2957107	binsA
bin.119	94.29	0.943	0.290	Bacteria	9879	2305676	binsA
bin.22	94.28	2.619	0.323	Bacteria	35776	1782846	binsA
bin.376	94.18	0.671	0.576	Clostridiales	51787	2316638	binsA
bin.106	94.15	0.754	0.531	Bacteroidales	134989	2961950	binsA
bin.65	94.06	0.0	0.517	Clostridia	29210	2308621	binsAB
bin.351	94.01	1.774	0.661	Actinobacteria	9727	1807374	binsA
bin.44	94.00	1.214	0.492	Lachnospiraceae	11466	2445867	binsA
bin.310	94.00	0.0	0.436	Bacteroidales	35489	2482378	binsA
bin.37	93.93	1.922	0.496	Clostridiales	12621	1762037	binsA
bin.215	93.91	3.712	0.591	Clostridiales	25259	2454610	binsAB
bin.139	93.84	1.949	0.366	Bacteroidales	40221	3531551	binsA
bin.340	93.80	1.565	0.424	Clostridiales	12787	2273023	binsA
bin.301	93.73	1.342	0.532	Clostridiales	56241	2256039	binsA
bin.222	93.71	0.671	0.560	Clostridiales	24904	2155700	binsA
bin.307	93.62	3.691	0.383	Clostridiales	10191	2036293	binsA
bin.243	93.59	1.906	0.473	Epsilonproteobacteria	24169	1992377	binsAB
bin.62	93.58	2.702	0.615	Bacteria	56496	4321316	binsA
bin.177	93.54	0.268	0.435	Bacteria	19158	3269496	binsA
bin.187	93.51	0.671	0.513	Clostridiales	28055	1842261	binsA
bin.252	93.45	4.245	0.312	Bacteria	36732	3101770	binsA
bin.308	93.42	1.143	0.459	Lachnospiraceae	27892	2097113	binsA
bin.82	93.41	0.782	0.569	Clostridiales	22041	2145246	binsA
bin.362	93.40	2.090	0.393	Clostridiales	7515	1626258	binsA
bin.56	93.39	1.342	0.556	Clostridiales	44270	1966644	binsA
bin.102	93.33	1.333	0.258	Bacteria	20361	1193987	binsA
bin.120	93.30	0.671	0.568	Clostridiales	93487	2046295	binsA
bin.214	93.28	0.0	0.498	Clostridiales	51315	1746260	binsA
bin.439	93.25	0.632	0.472	Clostridiales	72605	2691197	binsA
bin.190	93.25	1.284	0.278	Bacteria	58370	1214285	binsA
bin.167	93.14	2.101	0.603	Clostridia	24793	3086797	binsA
bin.26	93.13	0.791	0.506	Clostridiales	28788	5312848	binsA
bin.194	93.12	0.503	0.365	Clostridiales	12566	1755887	binsAB
bin.171	93.12	0.0	0.545	Clostridiales	94252	2105099	binsA
bin.48	93.08	5.391	0.626	Clostridiales	16430	1975772	binsA
bin.332	93.01	0.0	0.533	Clostridia	16380	1819040	binsAB
bin.244	92.98	4.697	0.598	Clostridiales	30532	3229395	binsAB
bin.455	92.96	0.709	0.459	Clostridiales	16640	1812347	binsA
bin.378	92.96	0.0	0.491	Bacteria	27940	1704663	binsA
bin.386	92.95	0.0	0.416	Clostridiales	65776	1538270	binsA
bin.407	92.94	2.986	0.421	Bacteroidales	11557	3503050	binsB
bin.318	92.87	0.806	0.466	Clostridia	45551	1913420	binsA
bin.18	92.81	3.030	0.560	Clostridiales	13323	2788302	binsA
bin.211	92.74	0.0	0.493	Clostridia	69890	1324058	binsAB
bin.430	92.69	1.685	0.271	Bacteria	51458	1219515	binsA
bin.405	92.69	3.370	0.255	Bacteria	79442	1110333	binsA
bin.270	92.68	5.480	0.412	Clostridiales	6203	1673415	binsA
bin.20	92.63	1.631	0.474	Clostridiales	98964	1494963	binsA
bin.209	92.53	4.706	0.441	Lachnospiraceae	10680	2374256	binsA
bin.55	92.35	3.091	0.467	Lachnospiraceae	49110	2469027	binsA
bin.69	92.31	1.013	0.419	Bacteroidales	108947	3944875	binsA
bin.138	92.31	1.333	0.285	Bacteria	22983	1635840	binsA
bin.463	92.28	4.082	0.453	Clostridiales	21294	1841034	binsA
bin.461	92.28	1.677	0.403	Clostridiales	36299	2536074	binsAB
bin.30	92.28	1.363	0.429	Clostridiales	18159	2218332	binsAB
bin.465	92.20	0.555	0.449	Bacteroidales	52560	2943168	binsA
bin.364	92.12	3.219	0.497	Burkholderiales	25374	2238764	binsA
bin.335	92.10	0.779	0.432	Lachnospiraceae	18337	2063441	binsA
bin.289	91.93	0.766	0.434	Bacteroidales	10684	2699401	binsA
bin.321	91.81	1.594	0.556	Proteobacteria	21363	2475340	binsA
bin.154	91.74	3.945	0.445	Lachnospiraceae	14359	2359915	binsA
bin.58	91.73	1.840	0.457	Clostridia	20827	1678013	binsA
bin.166	91.72	1.833	0.528	Clostridiales	10535	1854928	binsA
bin.153	91.72	1.230	0.619	Clostridiales	25067	2309051	binsA
bin.312	91.63	2.426	0.489	Clostridiales	11117	2345358	binsAB
bin.99	91.57	2.808	0.263	Bacteria	22274	1045603	binsA
bin.442	91.57	3.370	0.264	Bacteria	68211	1214528	binsA
bin.326	91.56	2.476	0.475	Lachnospiraceae	9684	5740179	binsAB
bin.204	91.54	1.392	0.430	Clostridiales	8289	3254794	binsB
bin.451	91.51	9.049	0.383	Clostridiales	7373	2001563	binsA
bin.29	91.49	1.006	0.602	Clostridiales	17551	2011261	binsA
bin.331	91.47	0.466	0.465	Bacteroidales	47965	2711684	binsA
bin.294	91.43	2.630	0.603	Bifidobacteriaceae	12081	1852183	binsA
bin.279	91.38	1.759	0.509	Clostridiales	43999	2691631	binsA
bin.11	91.34	1.510	0.462	Clostridiales	7683	1909599	binsA
bin.392	91.33	3.914	0.411	Clostridiales	7537	2013685	binsAB
bin.64	91.27	1.333	0.266	Bacteria	10014	1165992	binsA
bin.90	91.23	8.431	0.616	Clostridiales	20336	2354648	binsAB
bin.173	91.20	2.013	0.525	Clostridiales	38846	2257148	binsA
bin.309	91.09	1.823	0.383	Bacteroidales	10368	2978286	binsA
bin.352	90.96	6.234	0.512	Enterobacteriaceae	13890	4179098	binsAB
bin.115	90.96	5.778	0.239	Bacteria	11408	1072282	binsA
bin.239	90.81	0.671	0.452	Clostridiales	71662	1644877	binsA
bin.371	90.72	3.467	0.522	Clostridiales	5831	1775157	binsA
bin.328	90.72	1.916	0.513	Selenomonadales	10290	2084621	binsA
bin.258	90.71	0.134	0.493	Clostridiales	63024	1780934	binsA
bin.285	90.63	1.793	0.495	Clostridiales	11102	2232817	binsAB
bin.368	90.61	1.700	0.590	Clostridiales	49406	2234774	binsA
bin.229	90.49	3.355	0.413	Clostridiales	29377	2349535	binsA
bin.249	90.38	0.302	0.472	Clostridiales	15992	1849692	binsAB
bin.142	90.35	3.866	0.315	Euryarchaeota	7756	1420470	binsA
bin.52	90.30	1.006	0.439	Clostridiales	17999	2135889	binsA
bin.185	90.07	0.210	0.534	Clostridiales	20643	2413124	binsA
bin.479	90.06	30.67	0.450	Bacteroidales	3978	3777618	binsB
bin.470	90.03	3.059	0.501	Clostridiales	12232	5255601	binsB
bin.19	89.96	1.779	0.433	Lachnospiraceae	11893	2090240	binsA
bin.313	89.87	4.776	0.481	Clostridiales	27521	6642444	binsB
bin.63	89.56	7.382	0.377	Clostridiales	14478	2899272	binsA
bin.122	89.54	4.495	0.383	Clostridiales	7281	3055731	binsB
bin.240	89.48	12.02	0.595	Clostridiales	5034	1710115	binsAB
bin.418	89.46	1.238	0.452	Lachnospiraceae	12493	2214636	binsA
bin.265	89.41	1.797	0.266	Bacteria	12461	979716	binsA
bin.459	89.35	1.209	0.513	Clostridia	10254	1429315	binsA
bin.163	89.24	1.593	0.570	Bacteria	22089	1609417	binsA
bin.300	89.07	1.854	0.365	Lactobacillales	9781	2568609	binsAB
bin.175	89.07	1.698	0.383	Clostridiales	22630	2604062	binsAB
bin.278	89.05	2.666	0.275	Bacteria	12006	2004032	binsA
bin.431	88.97	0.559	0.442	Clostridiales	6806	2072202	binsA
bin.51	88.96	1.351	0.605	Bacteria	10251	4482966	binsA
bin.413	88.92	2.013	0.566	Clostridiales	40865	2285191	binsAB
bin.95	88.90	0.943	0.333	Bacteria	12218	2195209	binsA
bin.93	88.86	2.013	0.537	Clostridiales	12592	1772082	binsA
bin.315	88.72	1.565	0.539	Clostridiales	13033	2212985	binsA
bin.205	88.72	1.169	0.436	Lachnospiraceae	16713	2242423	binsAB
bin.358	88.71	13.71	0.625	Bacteria	10926	1751771	binsA
bin.427	88.62	0.167	0.503	Clostridiales	9922	1891635	binsA
bin.305	88.59	2.572	0.456	Clostridiales	8161	1897769	binsA
bin.186	88.20	0.0	0.269	Bacteria	31621	1068653	binsA
bin.162	88.01	3.305	0.405	Bacteroidales	19813	4632297	binsAB
bin.35	87.98	1.510	0.462	Clostridiales	12148	2242542	binsA
bin.264	87.96	0.782	0.367	Clostridiales	15491	2642090	binsB
bin.165	87.92	1.123	0.251	Bacteria	7034	1141621	binsA
bin.105	87.84	1.198	0.452	Clostridia	25795	1816921	binsA
bin.42	87.75	2.247	0.321	Bacteria	15593	1944793	binsA
bin.277	87.68	4.832	0.617	Clostridiales	8538	1658985	binsA
bin.231	87.65	0.223	0.471	Clostridiales	20103	2337237	binsA
bin.88	87.30	1.375	0.418	Lachnospiraceae	12787	2977898	binsA
bin.70	87.27	6.0	0.272	Bacteria	33471	1126418	binsA
bin.143	87.25	2.923	0.630	Clostridiales	10885	2198237	binsA
bin.33	87.19	4.507	0.619	Clostridiales	7984	1935342	binsA
bin.259	87.09	0.0	0.522	Bacteria	152667	2076199	binsA
bin.275	87.08	4.683	0.337	Bacteria	5475	1855945	binsA
bin.447	87.02	1.677	0.531	Clostridiales	7828	1752111	binsA
bin.220	87.01	1.118	0.362	Clostridiales	15085	2052326	binsA
bin.267	86.89	1.282	0.324	Bacteria	23163	1796123	binsA
bin.200	86.81	0.671	0.575	Clostridiales	19128	1988907	binsAB
bin.394	86.80	0.223	0.535	Clostridiales	15980	2012039	binsA
bin.9	86.79	6.853	0.278	Bacteria	101414	983118	binsA
bin.80	86.77	2.964	0.417	Clostridiales	13998	2257439	binsAB
bin.253	86.63	3.263	0.420	Clostridiales	6267	2351034	binsA
bin.434	86.50	2.689	0.567	Bifidobacteriaceae	15506	1769635	binsA
bin.319	86.49	31.47	0.601	Clostridiales	4591	2345758	binsAB
bin.130	86.35	2.348	0.571	Clostridiales	11791	1958350	binsA
bin.417	86.34	0.634	0.536	Bacteroidetes	91928	2272395	binsA
bin.136	86.33	1.342	0.400	Clostridiales	12292	1753942	binsA
bin.184	86.32	3.137	0.468	Clostridiales	6493	2297319	binsA
bin.254	86.26	1.518	0.421	Lachnospiraceae	7059	1712486	binsA
bin.453	86.20	1.454	0.624	Clostridiales	6377	1793791	binsA
bin.131	86.12	3.355	0.577	Clostridiales	10726	2365263	binsA
bin.372	85.95	2.822	0.537	Clostridia	6107	1433775	binsA
bin.297	85.91	0.251	0.571	Bacteroidales	146649	2268035	binsA
bin.32	85.78	2.056	0.467	Firmicutes	8606	1101922	binsA
bin.284	85.76	1.172	0.262	Bacteria	13686	971979	binsAB
bin.246	85.58	2.297	0.599	Bifidobacteriaceae	13354	1598700	binsA
bin.493	85.56	10.58	0.440	Bacteroidales	4805	5064856	binsB
bin.282	85.47	1.565	0.542	Clostridiales	8950	2081075	binsA
bin.217	85.39	0.0	0.257	Bacteria	52052	989410	binsAB
bin.338	85.26	1.565	0.450	Clostridiales	8805	1847237	binsA
bin.263	85.16	2.852	0.611	Clostridiales	8486	1572482	binsA
bin.343	85.11	2.531	0.460	Clostridiales	7116	1809698	binsA
bin.314	84.95	10.62	0.629	Bacteria	13351	2795418	binsA
bin.234	84.83	1.123	0.278	Bacteria	44085	1208043	binsAB
bin.361	84.79	2.631	0.420	Bacteria	57688	2187491	binsA
bin.1	84.79	4.093	0.272	Bacteria	15828	1199165	binsA
bin.382	84.78	1.510	0.544	Clostridiales	37172	2276566	binsA
bin.245	84.44	7.524	0.413	Lachnospiraceae	5360	1940664	binsAB
bin.46	84.36	1.984	0.435	Clostridiales	5262	1839811	binsAB
bin.57	84.35	3.061	0.560	Bacteria	10249	2196416	binsA
bin.389	84.32	3.787	0.586	Clostridiales	5256	2583672	binsA
bin.77	84.21	3.970	0.359	Clostridiales	11028	2380067	binsB
bin.180	84.21	0.0	0.411	Bacteria	7476	2702015	binsAB
bin.61	84.06	2.013	0.575	Clostridiales	9861	1822858	binsAB
bin.322	84.02	1.476	0.414	Clostridiales	4725	1363739	binsA
bin.174	83.74	4.026	0.550	Clostridiales	7316	2773129	binsA
bin.291	83.50	0.0	0.482	Bacteria	76902	6210485	binsAB
bin.316	83.49	8.801	0.377	Clostridiales	6151	2117468	binsAB
bin.299	83.31	2.013	0.618	Clostridiales	9509	1749551	binsAB
bin.81	83.29	2.796	0.575	Clostridiales	9768	2175116	binsA
bin.178	83.26	5.313	0.483	Clostridiales	5414	1601267	binsA
bin.12	83.24	3.020	0.505	Clostridiales	10674	1836801	binsA
bin.432	83.18	2.312	0.612	Clostridiales	6760	2022491	binsA
bin.425	83.15	3.140	0.505	Lachnospiraceae	6548	2347071	binsA
bin.146	83.09	3.914	0.453	Clostridiales	5219	1872850	binsA
bin.121	82.92	3.830	0.363	Lactobacillales	4866	1708038	binsA
bin.424	82.91	2.295	0.484	Selenomonadales	9741	1585341	binsAB
bin.159	82.90	5.123	0.435	Clostridiales	8906	2630662	binsAB
bin.132	82.89	0.974	0.413	Lachnospiraceae	9209	1688778	binsAB
bin.281	82.81	5.876	0.393	Streptococcus	8881	1431816	binsAB
bin.280	82.66	0.403	0.521	Clostridia	7435	1500753	binsA
bin.298	82.58	0.0	0.269	Bacteria	27510	1226191	binsA
bin.350	82.55	3.813	0.606	Clostridiales	7211	1839482	binsA
bin.149	82.37	4.980	0.429	Lachnospiraceae	10574	2408492	binsAB
bin.373	82.35	1.724	0.366	Bacteria	14693	1545665	binsA
bin.181	82.28	1.006	0.516	Clostridiales	5794	1827365	binsAB
bin.54	82.01	0.335	0.574	Clostridiales	13941	1869660	binsA
bin.170	81.88	1.904	0.481	Bacteria	9025	3007767	binsA
bin.101	81.86	5.657	0.544	Clostridiales	4950	1563632	binsA
bin.401	81.72	6.896	0.458	Bacteria	8026	3294370	binsA
bin.17	81.70	2.013	0.542	Clostridiales	5651	1603983	binsA
bin.339	81.51	5.872	0.614	Clostridiales	11357	1907748	binsA
bin.444	81.38	1.972	0.446	Lachnospiraceae	10025	2244384	binsAB
bin.27	81.32	0.894	0.528	Clostridiales	5746	2161102	binsA
bin.36	81.29	3.146	0.612	Clostridiales	4283	1972876	binsA
bin.241	81.19	0.0	0.382	Clostridiales	6215	1505865	binsA
bin.441	81.03	43.59	0.407	Bacteria	2294	10482615	binsAB
bin.359	81.03	0.0	0.270	Bacteria	15507	2839840	binsA
bin.385	81.0	2.375	0.565	Proteobacteria	8899	1658140	binsA
bin.268	80.79	5.849	0.557	Bacteroidetes	10922	1681222	binsA
bin.235	80.75	2.432	0.455	Clostridiales	12994	1544699	binsA
bin.128	80.59	0.838	0.471	Clostridiales	7037	1497899	binsA
bin.199	80.48	1.006	0.449	Clostridiales	12946	2010502	binsA
bin.333	80.10	3.020	0.591	Clostridiales	10955	1695521	binsA
bin.257	80.00	1.898	0.422	Clostridiales	10911	2108700	binsAB
bin.193	79.92	2.222	0.419	Lachnospiraceae	9593	2374321	binsB
bin.276	79.83	0.632	0.434	Firmicutes	38066	1727739	binsA
bin.49	79.73	4.746	0.564	Clostridiales	8246	5193498	binsA
bin.111	79.49	8.478	0.505	Clostridiales	8042	4280027	binsAB
bin.155	79.31	0.862	0.408	Bacteria	20643	2714564	binsA
bin.380	79.21	7.666	0.613	Clostridiales	7236	1652919	binsA
bin.116	78.89	3.152	0.604	Clostridiales	5563	1493890	binsAB
bin.349	78.64	6.711	0.594	Clostridiales	8356	1834720	binsAB
bin.7	78.62	0.862	0.485	Bacteria	15368	1708781	binsA
bin.484	78.22	19.72	0.469	Proteobacteria	5901	4776208	binsB
bin.2	78.09	2.013	0.598	Clostridiales	34985	1465857	binsAB
bin.377	78.05	6.398	0.520	Clostridiales	4783	1676315	binsA
bin.483	77.89	22.08	0.269	Clostridiales	6233	2510931	binsB
bin.78	77.85	7.270	0.581	Clostridiales	10922	1521057	binsAB
bin.290	77.85	4.530	0.616	Clostridiales	18953	1537382	binsA
bin.272	77.32	0.894	0.587	Clostridiales	5864	1647257	binsA
bin.288	77.01	5.113	0.666	Clostridia	4161	2077923	binsA
bin.189	77.01	5.274	0.451	Clostridiales	7150	2037557	binsA
bin.296	76.78	2.013	0.620	Clostridiales	9740	1803966	binsA
bin.232	76.61	1.922	0.597	Clostridiales	52909	1804861	binsA
bin.140	76.57	23.77	0.578	Clostridiales	3390	2221911	binsA
bin.91	76.44	38.29	0.423	Bacteroides	3056	4837717	binsAB
bin.201	76.25	1.510	0.608	Clostridiales	16578	1640377	binsA
bin.408	76.09	0.894	0.598	Clostridiales	9494	1745918	binsA
bin.428	76.05	11.93	0.621	Clostridiales	3868	1763227	binsA
bin.334	75.93	2.593	0.437	Clostridia	6881	2201422	binsA
bin.145	75.72	4.839	0.599	Bacteroidetes	13465	2401225	binsAB
bin.123	75.15	1.724	0.588	Bacteria	19266	2539765	binsA
bin.94	75.06	5.741	0.429	Streptococcus	5647	1462596	binsAB
bin.192	75.00	0.377	0.512	Bacteroidales	34812	1858573	binsA
bin.383	74.95	41.22	0.456	Bacteria	2036	6843784	binsAB
bin.79	74.80	8.771	0.424	Bacteria	8661	2074040	binsAB
bin.87	74.52	2.034	0.278	Clostridiales	54034	1386946	binsA
bin.390	74.36	4.865	0.623	Clostridiales	21623	1625039	binsA
bin.409	74.13	1.724	0.577	Bacteria	5173	1490815	binsA
bin.426	74.06	9.090	0.300	Clostridiales	16626	1139420	binsA
bin.271	73.98	49.05	0.484	Bacteria	3277	7880762	binsAB
bin.14	73.68	0.0	0.443	Bacteria	8314	3201747	binsA
bin.329	73.49	3.508	0.245	Bacteria	9990	1088849	binsA
bin.109	73.42	3.131	0.264	Clostridiales	22620	1362179	binsA
bin.127	73.16	9.955	0.277	Clostridiales	35816	2009001	binsA
bin.460	72.91	6.896	0.423	Bacteria	14470	3640639	binsA
bin.410	72.91	3.451	0.269	Clostridiales	10092	1265587	binsA
bin.354	72.44	0.0	0.312	Bacteria	3574	1507376	binsA
bin.286	72.27	3.389	0.608	Bacteria	6066	1600863	binsA
bin.141	72.16	46.88	0.462	Bacteria	1597	6766002	binsAB
bin.370	72.06	1.789	0.393	Clostridiales	7577	1343418	binsA
bin.59	72.03	0.0	0.478	Bacteria	5110	1637156	binsA
bin.134	72.03	1.789	0.456	Clostridiales	4337	1613237	binsAB
bin.84	71.70	7.758	0.281	Bacteria	7791	2585960	binsA
bin.414	71.54	3.891	0.270	Clostridiales	6693	1214331	binsA
bin.449	71.47	9.619	0.589	Clostridiales	4039	1442568	binsAB
bin.86	71.24	2.718	0.527	Clostridiales	5232	1375959	binsA
bin.25	71.22	4.082	0.552	Clostridiales	4149	1658190	binsA
bin.403	71.05	33.51	0.488	Bacteria	2249	2285690	binsAB
bin.183	71.01	5.263	0.450	Bacteria	25599	2816355	binsA
bin.472	70.84	13.88	0.434	Bacteroidales	4876	4424036	binsB
bin.202	70.71	2.202	0.266	Clostridiales	11480	1080846	binsAB
bin.452	70.57	0.0	0.296	Bacteria	4132	1729321	binsA
bin.443	70.06	3.681	0.282	Clostridiales	24618	1058896	binsAB
bin.388	69.88	1.300	0.442	Clostridiales	5156	1479111	binsA
bin.365	69.45	0.0	0.501	Bacteria	6543	2177392	binsA
bin.43	69.31	1.724	0.459	Bacteria	11729	2512206	binsA
bin.325	69.25	5.559	0.267	Clostridiales	32967	1264025	binsAB
bin.219	69.06	1.190	0.443	Clostridia	13336	1180481	binsAB
bin.160	68.96	2.586	0.448	Bacteria	6941	1506864	binsA
bin.367	68.74	7.846	0.426	Lachnospiraceae	4021	1735198	binsA
bin.45	68.64	7.986	0.474	Bacteroidales	6688	2690365	binsAB
bin.182	68.33	4.388	0.481	Lachnospiraceae	5863	1877121	binsAB
bin.117	67.95	0.738	0.434	Clostridiales	14237	2207852	binsAB
bin.152	67.54	0.0	0.487	Bacteria	5355	1310094	binsA
bin.68	67.46	1.754	0.514	Bacteria	9008	2097857	binsA
bin.464	67.43	0.0	0.403	Clostridia	23287	1517552	binsA
bin.355	67.43	3.508	0.351	Bacteria	11812	2092116	binsA
bin.157	67.29	1.588	0.282	Clostridiales	25992	1223350	binsA
bin.198	67.26	3.251	0.587	Clostridia	4599	1987575	binsA
bin.445	67.24	0.0	0.390	Bacteria	52787	3304069	binsA
bin.458	67.01	5.263	0.409	Bacteria	9768	1653307	binsA
bin.295	66.85	4.250	0.275	Clostridiales	21755	1175954	binsA
bin.346	66.66	0.803	0.299	Clostridiales	27774	1190759	binsA
bin.218	66.65	2.689	0.388	Streptococcus	3736	1218189	binsA
bin.72	66.37	0.0	0.479	Bacteria	4218	1690579	binsA
bin.156	66.37	1.724	0.439	Bacteria	8641	3804001	binsAB
bin.15	66.37	1.724	0.461	Bacteria	6201	2563587	binsA
bin.399	66.11	46.47	0.464	Bacteria	2125	3757772	binsAB
bin.287	66.01	3.448	0.553	Bacteria	59232	3620901	binsA
bin.360	65.98	1.724	0.565	Bacteria	4421	2024189	binsA
bin.327	65.90	1.754	0.262	Bacteria	9518	1458844	binsA
bin.353	65.88	13.49	0.380	Bacteria	2030	3861948	binsAB
bin.435	65.67	44.80	0.455	Bacteria	1716	8194037	binsAB
bin.357	65.51	0.0	0.561	Bacteria	127030	1945663	binsA
bin.224	65.50	0.0	0.464	Bacteria	40888	3863523	binsA
bin.164	65.47	0.223	0.462	Clostridiales	4237	1241603	binsA
bin.207	65.40	1.316	0.493	Bacteroidales	4402	1929976	binsAB
bin.248	65.29	1.062	0.581	Clostridiales	5210	1398519	binsAB
bin.210	64.94	1.265	0.476	Clostridiales	5527	1655111	binsA
bin.196	64.64	30.26	0.583	Clostridiales	1794	2011488	binsAB
bin.104	64.52	3.897	0.597	Actinobacteria	4165	1110521	binsA
bin.348	64.33	33.32	0.557	Clostridiales	2220	3637336	binsAB
